mode,band_s,n_positives,n_negatives,roc_auc,pr_auc,precision,recall,f1,balanced_accuracy,reliable
camera,0.0-0.5,1751,1751,0.8019782120097156,0.8050398094287319,0.8292349726775956,0.6933181039406053,0.7552099533437013,0.7752712735579669,True
camera,0.5-1.0,45,1751,0.757256171076845,0.06834688934632842,0.09090909090909091,0.5555555555555556,0.15625,0.706389999365442,True
camera,1.0-1.5,36,1751,0.6081048924424138,0.028482498013498028,0.0421455938697318,0.3055555555555556,0.07407407407407407,0.581389999365442,True
camera,1.5-2.0,28,1751,0.5494003426613364,0.016738487118061963,0.00398406374501992,0.03571428571428571,0.007168458781362007,0.44646936444480706,True
camera,2.0-2.5,28,1751,0.6041037774333035,0.018895159989441617,0.0,0.0,nan,0.4286122215876642,True
camera,2.5-3.0,26,1751,0.657272767209946,0.02151956609109684,0.0,0.0,nan,0.4286122215876642,True
radar,0.0-0.5,1528,881,0.7337843419246335,0.8157695982260023,1.0,0.018979057591623036,0.037251123956326265,0.5094895287958116,True
radar,0.5-1.0,39,881,0.8908000814924765,0.22150102244263953,nan,0.0,nan,0.5,True
radar,1.0-1.5,21,881,0.9044105724014918,0.11207524297745033,nan,0.0,nan,0.5,True
radar,1.5-2.0,14,881,0.9206664504621371,0.09063228282351138,nan,0.0,nan,0.5,False
radar,2.0-2.5,7,881,0.9521647478514675,0.08061584080636863,nan,0.0,nan,0.5,False
radar,2.5-3.0,1,881,0.9699205448354143,0.03571428571428571,nan,0.0,nan,0.5,False
fused,0.0-0.5,1597,1368,0.8782290533785936,0.8691975303444128,0.8111731843575419,0.9092047589229806,0.8573959255978741,0.8310643677655838,True
fused,0.5-1.0,59,1368,0.7921994251164635,0.1350241873416782,0.11518324607329843,0.7457627118644068,0.19954648526077096,0.7493433442362969,True
fused,1.0-1.5,23,1368,0.7932875667429443,0.03749100029553956,0.04519774011299435,0.6956521739130435,0.08488063660477453,0.7242880752606153,True
fused,1.5-2.0,11,1368,0.7853867623604466,0.018798480204020092,0.01744186046511628,0.5454545454545454,0.03380281690140845,0.6491892610313663,False
fused,2.0-2.5,5,1368,0.7804824561403508,0.009358007613157821,0.008797653958944282,0.6,0.017341040462427747,0.6764619883040935,False
fused,2.5-3.0,2,1368,0.6222587719298246,0.0028511225479227274,0.0,0.0,nan,0.37646198830409355,False
